Year,Reserve Type,Réserves,Discretionary Reserves,Fonds de réserve discrétionnaires,Opening,Closing,Ouverture,Ferme
2021,Operating,Fonctionnement,Employee Benefit Reserve,Fonds de réserve pour les avantages sociaux des employés,"52,578","81,379","52,578","81,379"
2021,Operating,Fonctionnement,Landfill Closure Reserve,Fonds de réserve de fermeture des décharges,"6,125","6,539","6,125","6,539"
2021,Operating,Fonctionnement,Tax Stabilization Reserve,Fonds de réserve de stabilisation des taxes,51454.001,55996.001,51454.001,55996.001
2021,Operating,Fonctionnement,Transit Operating Reserve,Fonds de réserve du fonctionnement du transport en commun,"5,066","8,584","5,066","8,584"
2022,Operating,Fonctionnement,Employee Benefit Reserve,Fonds de réserve pour les avantages sociaux des employés,"81,379","85,511","81,379","85,511"
2022,Operating,Fonctionnement,Landfill Closure Reserve,Fonds de réserve de fermeture des décharges,6539,"6,989",6539,"6,989"
2022,Operating,Fonctionnement,Tax Stabilization Reserve,Fonds de réserve de stabilisation des taxes,"76,488","79,899","76,488","79,899"
2022,Operating,Fonctionnement,Transit Operating Reserve,Fonds de réserve du fonctionnement du transport en commun,"8,584","26,953","8,584","26,953"
2023,Operating,Fonctionnement,Employee Benefit Reserve,Fonds de réserve pour les avantages sociaux des employés,"85,511","87,469","85,511","87,469"
2023,Operating,Fonctionnement,Landfill Closure Reserve,Fonds de réserve de fermeture des décharges,"6,990","7,349","6,990","7,349"
2023,Operating,Fonctionnement,Tax Stabilization Reserve,Fonds de réserve de stabilisation des taxes,"72,519","74,959","72,519","74,959"
2023,Operating,Fonctionnement,Transit Operating Reserve,Fonds de réserve du fonctionnement du transport en commun,1211,8899,1211,8899
2024,Operating,Fonctionnement,Employee Benefit Reserve,Fonds de réserve pour les avantages sociaux des employés,95341,"102,219",95341,"102,219"
2024,Operating,Fonctionnement,Landfill Closure Reserve,Fonds de réserve de fermeture des décharges,"7,457","7,972","7,457","7,972"
2024,Operating,Fonctionnement,Tax Stabilization Reserve,Fonds de réserve de stabilisation des taxes,73124,100977.2002,73124,100977.2002
2024,Operating,Fonctionnement,Transit Operating Reserve,Fonds de réserve du fonctionnement du transport en commun,"16,116","5,565","16,116","5,565"
2025,Operating,Fonctionnement,Employee Benefit Reserve,Fonds de réserve pour les avantages sociaux des employés,"102,219",103647.4256,"102,219",103647.4256
2025,Operating,Fonctionnement,Landfill Closure Reserve,Fonds de réserve de fermeture des décharges,7971.98926,8331.98926,7971.98926,8331.98926
2025,Operating,Fonctionnement,Tax Stabilization Reserve,Fonds de réserve de stabilisation des taxes,100977.2002,102708.2002,100977.2002,102708.2002
2025,Operating,Fonctionnement,Transit Operating Reserve,Fonds de réserve du fonctionnement du transport en commun,5564.599,8062.599,5564.599,8062.599
2021,Combined Operating/Capital,Fonctionnement et Immobilisations,Ottawa Public Library Reserve,Fonds de réserve pour la Bibliothèque publique d’Ottawa,"9,853","4,962","9,853","4,962"
2021,Combined Operating/Capital,Fonctionnement et Immobilisations,Parking,Fonds de réserve pour le stationnement,22427,"23,844",22427,"23,844"
2021,Combined Operating/Capital,Fonctionnement et Immobilisations,Road Safety Reserve Fund,Fonds de réserve pour la sécurité routière,0,0,0,0
2021,Combined Operating/Capital,Fonctionnement et Immobilisations,Solid Waste Reserve,Fonds de réserve pour la gestion des déchets solides,"-4,013","-17,929","-4,013","-17,929"
2021,Combined Operating/Capital,Fonctionnement et Immobilisations,Stormwater Reserve,Fonds de réserve des services d’eaux pluviales,"17,128","6,779","17,128","6,779"
2021,Combined Operating/Capital,Fonctionnement et Immobilisations,Wastewater Reserve,Fonds de réserve des services d’eaux usées,"35,856","40,047","35,856","40,047"
2021,Combined Operating/Capital,Fonctionnement et Immobilisations,Water Reserve,Fonds de réserve des services d’eau,"101,709","119,526","101,709","119,526"
2022,Combined Operating/Capital,Fonctionnement et Immobilisations,Ottawa Public Library Reserve,Fonds de réserve pour la Bibliothèque publique d’Ottawa,"10,206","6,304","10,206","6,304"
2022,Combined Operating/Capital,Fonctionnement et Immobilisations,Parking,Fonds de réserve pour le stationnement,"23,844","19,838","23,844","19,838"
2022,Combined Operating/Capital,Fonctionnement et Immobilisations,Road Safety Reserve Fund,Fonds de réserve pour la sécurité routière,0,"-2,908",0,"-2,908"
2022,Combined Operating/Capital,Fonctionnement et Immobilisations,Solid Waste Reserve,Fonds de réserve pour la gestion des déchets solides,-13364,-14936,-13364,-14936
2022,Combined Operating/Capital,Fonctionnement et Immobilisations,Stormwater Reserve,Fonds de réserve des services d’eaux pluviales,"7,268","12,632","7,268","12,632"
2022,Combined Operating/Capital,Fonctionnement et Immobilisations,Wastewater Reserve,Fonds de réserve des services d’eaux usées,"40,066","54,483","40,066","54,483"
2022,Combined Operating/Capital,Fonctionnement et Immobilisations,Water Reserve,Fonds de réserve des services d’eau,123628,126562,123628,126562
2023,Combined Operating/Capital,Fonctionnement et Immobilisations,Ottawa Public Library Reserve,Fonds de réserve pour la Bibliothèque publique d’Ottawa,"11,356",11355,"11,356",11355
2023,Combined Operating/Capital,Fonctionnement et Immobilisations,Parking,Fonds de réserve pour le stationnement,19838,"19,933",19838,"19,933"
2023,Combined Operating/Capital,Fonctionnement et Immobilisations,Road Safety Reserve Fund,Fonds de réserve pour la sécurité routière,-2908,-3097,-2908,-3097
2023,Combined Operating/Capital,Fonctionnement et Immobilisations,Solid Waste Reserve,Fonds de réserve pour la gestion des déchets solides,-9561,"-26,201",-9561,"-26,201"
2023,Combined Operating/Capital,Fonctionnement et Immobilisations,Stormwater Reserve,Fonds de réserve des services d’eaux pluviales,11873,"15,339",11873,"15,339"
2023,Combined Operating/Capital,Fonctionnement et Immobilisations,Wastewater Reserve,Fonds de réserve des services d’eaux usées,49185,17416,49185,17416
2023,Combined Operating/Capital,Fonctionnement et Immobilisations,Water Reserve,Fonds de réserve des services d’eau,126422,117784,126422,117784
2024,Combined Operating/Capital,Fonctionnement et Immobilisations,Ottawa Public Library Reserve,Fonds de réserve pour la Bibliothèque publique d’Ottawa,"4,669","7,509","4,669","7,509"
2024,Combined Operating/Capital,Fonctionnement et Immobilisations,Parking,Fonds de réserve pour le stationnement,"20,043","18,528","20,043","18,528"
2024,Combined Operating/Capital,Fonctionnement et Immobilisations,Road Safety Reserve Fund,Fonds de réserve pour la sécurité routière,"-6,497",579,"-6,497",579
2024,Combined Operating/Capital,Fonctionnement et Immobilisations,Solid Waste Reserve,Fonds de réserve pour la gestion des déchets solides,"-26,182","-25,240","-26,182","-25,240"
2024,Combined Operating/Capital,Fonctionnement et Immobilisations,Stormwater Reserve,Fonds de réserve des services d’eaux pluviales,"16,402","13,841","16,402","13,841"
2024,Combined Operating/Capital,Fonctionnement et Immobilisations,Wastewater Reserve,Fonds de réserve des services d’eaux usées,"17,965","10,362","17,965","10,362"
2024,Combined Operating/Capital,Fonctionnement et Immobilisations,Water Reserve,Fonds de réserve des services d’eau,"120,862","97,669","120,862","97,669"
2025,Combined Operating/Capital,Fonctionnement et Immobilisations,Ottawa Public Library Reserve,Fonds de réserve pour la Bibliothèque publique d’Ottawa,"7,509","7,864","7,509","7,864"
2025,Combined Operating/Capital,Fonctionnement et Immobilisations,Parking,Fonds de réserve pour le stationnement,"18,528","18,330","18,528","18,330"
2025,Combined Operating/Capital,Fonctionnement et Immobilisations,Road Safety Reserve Fund,Fonds de réserve pour la sécurité routière,579,"5,154",579,"5,154"
