Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Description,Description (FR),Frais 2023,2023 Fee,Frais 2024,2024 Fee,Frais 2025,2025 Fee,Augmentation,Increase,Effective starting,Date d'entrée en vigueur ,ColSearch,ColSearch_FR
"Planning, Development and Building Services Department","Services de la planification, de l’aménagement et du bâtiment",Agriculture and Rural Affairs Committee,Comité de l'agriculture et des affaires rurales,Planning Services (ARAC),Service de planification (CAAR),Fence Viewer Fee,Droits d'inspection de clôture,,,430,430,440,440,2.30%,2.30%,2025-01-01,2025-01-01,"Planning, Development and Building Services Department Agriculture and Rural Affairs Committee Planning Services (ARAC) Fence Viewer Fee","Services de la planification, de l’aménagement et du bâtiment Comité de l'agriculture et des affaires rurales Service de planification (CAAR) Droits d'inspection de clôture"
Community and Social Services Department,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,Children's Services,Services à l'enfance,Child care - Infant,Services de garde d'enfants - Nourrissons,,,0,0,0,0,0.00%,0.00%,,,Community and Social Services Department Community Services Committee Children's Services Child care - Infant,Direction générale des services sociaux et communautaires Comité des services communautaires Services à l'enfance Services de garde d'enfants - Nourrissons
Community and Social Services Department,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,Children's Services,Services à l'enfance,Child care - Preschool,Services de garde d'enfants - Enfants d'âge préscolaire,,,21.61,21.61,21.61,21.61,0.00%,0.00%,2025-01-01,2025-01-01,Community and Social Services Department Community Services Committee Children's Services Child care - Preschool,Direction générale des services sociaux et communautaires Comité des services communautaires Services à l'enfance Services de garde d'enfants - Enfants d'âge préscolaire
Community and Social Services Department,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,Children's Services,Services à l'enfance,Child care - Toddler,Services de garde d'enfants - Tout-petits,,,30.01,30.01,22,22,-26.70%,-26.70%,2025-01-01,2025-01-01,Community and Social Services Department Community Services Committee Children's Services Child care - Toddler,Direction générale des services sociaux et communautaires Comité des services communautaires Services à l'enfance Services de garde d'enfants - Tout-petits
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Arena - Adult ,Location - Aréna – adultes ,,,331.9,331.9,341.7,341.7,2.90%,2.90%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Arena - Adult ","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Aréna – adultes "
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Arena - Commercial,Location - Aréna – entreprises,,,341.6,341.6,351.7,351.7,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Arena - Commercial","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Aréna – entreprises"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Arena - Minor,Location - Aréna – adolescents,,,198.9,198.9,204.8,204.8,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Arena - Minor","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Aréna – adolescents"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Arena - Non-Prime Time,Location - Aréna – heures creuses,,,154.8,154.8,159.3,159.3,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Arena - Non-Prime Time","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Aréna – heures creuses"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Arena - Cancellation Fees,Location - Aréna – frais d’annulation,,,25% to 100%,25% to 100%,25% to 100%,25% to 100%,0.00%,0.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Arena - Cancellation Fees","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Aréna – frais d’annulation"
"Recreation, Culture and Facility Services Department","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",Rentals - Arena - Other,Location - Aréna – divers,,,75.49-341.60,75.49-341.60,77.72-351.68,77.72-351.68,3.00%,3.00%,2025-01-01,2025-01-01,"Recreation, Culture and Facility Services Department Community Services Committee Community Recreation, Culture and Sports Programs Rentals - Arena - Other","Direction générale des loisirs, de la culture et des installations Comité des services communautaires Services des loisirs communautaires, de la culture et des sports Location - Aréna – divers"
