Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Project,Total,Expense Type,FTE,Change over 2024
"Planning, Development and Building Services ","Services de la planification, de l’aménagement et du bâtiment",Agriculture and Rural Affairs Committee,Comité de l'agriculture et des affaires rurales,Planning Services (ARAC) ,Service de planification (CAAR),,"3,705.00",Operating,21,1
Finance and Corporate Services ,Direction générale des finances et des services organisationnels,Audit Committee,Comité de la vérification,External Audit Fees,Frais de vérification externe,,348,Operating,0,0
Office of the Auditor General,Bureau de la vérificatrice générale,Audit Committee,Comité de la vérification,Office of the Auditor General,Bureau de la vérificatrice générale,,"2,860.00",Operating,14,0
N/A,s.o,Boards and Agencies,Conseils et institutions,Committee of Adjustment,Comité de dérogation,,"1,854.00",Operating,14,0
N/A,s.o,Boards and Agencies,Conseils et institutions,Ottawa Board of Health,Conseil de santé d'Ottawa,,"82,742.00",Operating,511.11,0
N/A,s.o,Boards and Agencies,Conseils et institutions,Ottawa Police Services Board,Commission de services policiers d'Ottawa,,"442,456.00",Operating,"2,311.60",129
N/A,s.o,Boards and Agencies,Conseils et institutions,Ottawa Public Library Board,Conseil d’administration de la Bibliothèque publique d’Ottawa,,"67,580.00",Operating,543.96,54
Community and Social Services ,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,Childrens Services,Services à l’enfance,,"471,261.00",Operating,207.49,-12
"Recreation, Culture and Facility Services ","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Community Recreation, Culture and Sports Programs","Services des loisirs communautaires, de la culture et des sports",,"79,545.00",Operating,432.36,0
Community and Social Services ,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,"Community Safety, Well-Being, Policy & Analytics","Sécurité et Bienêtre dans les collectivités, Politiques et Données analytiques   ",,"12,768.00",Operating,16,0
"Recreation, Culture and Facility Services ","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,"Complexes, Aquatics and Specialized Services","Complexes récréatifs, Activités aquatiques et Services spécialisés",,"86,651.00",Operating,615.04,11.93
Community and Social Services ,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,Employment and Social Services,Services sociaux,,"257,400.00",Operating,508.17,0
"Recreation, Culture and Facility Services ","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,Facility Operations,Services d’exploitation des installations,,"41,225.00",Operating,684.25,57
Community and Social Services ,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,"Gender & Race Equity, Inclusion, Indigenous Relations and Social Development",Portefeuilles de l’équité,,"36,532.00",Operating,35,0
Community and Social Services ,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,GM's Office & Business Support and Technical Services,Bureau du DG et services de soutien technique aux activités,,"4,141.00",Operating,31,0
"Recreation, Culture and Facility Services ","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,GM's Office & Business Support and Technical Services,Bureau du DG et services de soutien technique aux activités,,"30,733.00",Operating,83.59,2
Community and Social Services ,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,Housing and Homelessness Services,Services de logement et de la lutte contre l’itinérance,,"215,865.00",Operating,64.4,0
Community and Social Services ,Direction générale des services sociaux et communautaires,Community Services Committee,Comité des services communautaires,Long Term Care ,Soins de longue durée,,"110,760.00",Operating,811.84,47.6
Public Works ,Services des travaux publics,Community Services Committee,Comité des services communautaires,Parks,Entretien des parcs,,"44,999.00",Operating,273.59,0
"Recreation, Culture and Facility Services ","Direction générale des loisirs, de la culture et des installations",Community Services Committee,Comité des services communautaires,Parks and Facilities Planning,Planification des installations et des parcs,,"2,406.00",Operating,17,0
Emergency and Protective Services ,Direction générale des services de protection et d’urgence,Emergency Preparedness and Protective Services Committee,Comité des services de protection et de préparation aux situations d’urgence,By-law and Regulatory Services,Services des règlements municipaux,,"30,170.00",Operating,232.29,10
Emergency and Protective Services ,Direction générale des services de protection et d’urgence,Emergency Preparedness and Protective Services Committee,Comité des services de protection et de préparation aux situations d’urgence,GM's Office & Business Support Services,Bureau du DG et services de soutien aux activités,,"5,260.00",Operating,37,1
Emergency and Protective Services ,Direction générale des services de protection et d’urgence,Emergency Preparedness and Protective Services Committee,Comité des services de protection et de préparation aux situations d’urgence,Ottawa Fire Services,Service des incendies d’Ottawa,,"196,793.00",Operating,"1,012.00",23
Emergency and Protective Services ,Direction générale des services de protection et d’urgence,Emergency Preparedness and Protective Services Committee,Comité des services de protection et de préparation aux situations d’urgence,Ottawa Paramedic Service ,Service paramédic d’Ottawa ,,"149,019.00",Operating,812.8,27
Emergency and Protective Services ,Direction générale des services de protection et d’urgence,Emergency Preparedness and Protective Services Committee,Comité des services de protection et de préparation aux situations d’urgence,Public Policy Development,Services d’élaboration des politiques publiques,,"1,018.00",Operating,7,1
Emergency and Protective Services ,Direction générale des services de protection et d’urgence,Emergency Preparedness and Protective Services Committee,Comité des services de protection et de préparation aux situations d’urgence,Public Safety Service,Service de sécurité publique,,"12,633.00",Operating,26,1
Infrastructure and Water Services,Direction générale des services d’infrastructure et d’eau,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Stormwater Services,"Services des eaux pluviales, de laboratoire et de drainage municipal",,"103,433.00",Operating,47,2
Infrastructure and Water Services,Direction générale des services d’infrastructure et d’eau,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Wastewater Services,Service de traitement des eaux usées,,"184,161.00",Operating,231.34,8
Infrastructure and Water Services,Direction générale des services d’infrastructure et d’eau,Environment and Climate Change Committee (Rate Supported),Comité de l’environnement du changement climatique (par les redevances),Drinking Water Services,Services de gestion de l’eau potable,,"211,552.00",Operating,285.97,3
Infrastructure and Water Services,Direction générale des services d’infrastructure et d’eau,Environment and Climate Change Committee (Tax Supported),Comité de l’environnement du changement climatique (par les taxes),Infrastructure Services,Services d'infrastructure,,"4,455.00",Operating,181.97,12
