Department,Département,Committee,Comité,Service Area,Secteur de d'activité,Project,Projet,Total,Expense Type,Reduces Greenhouse Gases?,Réduction des émissions de gaz à effet de serre?,Reduces Greenhouse Gases? - Count,Builds climate resiliency?,Renforcer la résilience climatique?,Builds climate resiliency? - Count,Rate Supported,Category of Capital Program,Catégorie de programme d'immobilisations
Community and Social Services Department, Services sociaux et communautaires ,Community Services Committee,Comité des services communautaires,Child Care,Services de garde,911154 24-26 Municipal ChildCare Centre upgrade,911154 Mises à jour des garderies municipales en 2024-26, 100 ,Capital, No ,Non,0, Yes - Minor Contribution ,Oui - Contribution mineure,1,,Renewal of City Assets,Renouvellement des immobilisations
Community and Social Services Department, Services sociaux et communautaires ,Community Services Committee,Comité des services communautaires,Long Term Care,Soins de longue durée,911153 2024-26 Furniture & Equipment- LTC,911153 Meubles et équipement 2024-26– Soins de longue durée, 300 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Community and Social Services Department, Services sociaux et communautaires ,Community Services Committee,Comité des services communautaires,Long Term Care,Soins de longue durée,911758 Call Bell System - LTC,911758 Système de signalisation pour résident - Soins de longue durée, 500 ,Capital, No ,Non,0, No ,Non,0,,Regulatory,Réglementé
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,By-law & Regulatory Services,Services des règlements municipaux,909118 By-law Ballistic Vest Replacement,909118 Remplacement de gilets pare-balles pour les Services des règlements municipaux, 70 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,By-law & Regulatory Services,Services des règlements municipaux,909119 By-law Field Technology Systems,909119 Systèmes de technologie de terrain pour les Services des règlements municipaux, 350 ,Capital, No ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,By-law & Regulatory Services,Services des règlements municipaux,910569 Bylaw-Retrofit Industrial Ave Facil 2022,910569 Rénovation de l’installation de l’avenue Industrial pour les Services des règlements municipaux (2022)," 1,700 ",Capital, No ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,By-law & Regulatory Services,Services des règlements municipaux,911204 Bylaw Equipment Replacement 24-26,911204 Remplacement d’équipement pour les Services des règlements municipaux 24-26, 108 ,Capital, No ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,By-law & Regulatory Services,Services des règlements municipaux,911205 By-law Vehicles and Equipment (24-26),911205 Véhicules et équipements des Services des règlements municipaux (24-26), 475 ,Capital, Yes - Moderate Contribution ,Oui - Contribution modérée,1, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Fire Services,Service des incendies d’Ottawa,906832 Fire Vehicles & Equipment,906832 Véhicules et équipement de lutte contre les incendies, 500 ,Capital, No ,Non,0, No ,Non,0,,Growth,Croissance
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Fire Services,Service des incendies d’Ottawa,908656 Fire SCBA Replacement,908656 Remplacement d'appareils respiratoires autonomes," 2,600 ",Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Fire Services,Service des incendies d’Ottawa,908895 Fire Station Alerting & Paging System Up,908895 Mise à jour du système d'alerte et de radio-messagerie dans une caserne de pompiers, 250 ,Capital, No ,Non,0, No ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Fire Services,Service des incendies d’Ottawa,911192 Fire Tech. Development & Equipment-24-26,911192 Conception technologique et matériel de lutte contre les incendies 24-26, 450 ,Capital, No  ,Non,0, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
Emergency & Protective Services Department, Services de protection et d’urgence ,Emergency Preparedness and Protective Services Committee,Comité des services de protection et d’urgence,Ottawa Fire Services,Service des incendies d’Ottawa,911193 Specialty Fire Equip. Replacement 24-26,911193 Remplacement de l’équipement spécialisé de lutte contre les incendies 24-26, 400 ,Capital, Yes - Minor Contribution ,Oui - Contribution mineure,1, No  ,Non,0,,Renewal of City Assets,Renouvellement des immobilisations
